# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C5N2O4	HC2NO2	H6C7N3O6	H4C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
160000        292         10	 189	 1	 1	 1	 1	 93	 2	 2	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
161000        293          6	 192	 91	 4	 4	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
162000        292          6	 192	 92	 3	 3	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
163000        293          6	 192	 91	 4	 4	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N11O11	NO	H6C6N10O9	N2O3	
164000        293          8	 192	 91	 3	 3	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
165000        293          6	 192	 91	 3	 3	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C6N3O6	HC	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
166000        296          8	 191	 1	 1	 89	 5	 5	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N10O8	NO2	H6C6N11O10	H6C6N10O9	N2O3	
167000        295          7	 192	 90	 1	 5	 3	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C5N2O4	HC2NO2	H6C6N12O12	H6C6N10O8	NO2	H6C6N11O10	H6C6N10O9	N2O3	
168000        295          9	 191	 1	 1	 91	 1	 4	 2	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
169000        294          8	 191	 1	 1	 91	 3	 3	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
170000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H11C13N14O16	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
171000        294          7	 191	 1	 89	 4	 5	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
172000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H5C7N3O7	H5C7N3O5	H6C6N12O12	H6C6N11O10	NO2	H6C6N13O14	H6C6N10O9	N2O3	
173000        292          9	 190	 1	 1	 90	 3	 2	 1	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N12O13	H6C6N12O11	
174000        295         10	 191	 1	 1	 88	 4	 4	 2	 2	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
175000        295          6	 192	 89	 5	 5	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	H2C3NO2	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
176000        295          8	 191	 1	 1	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H6C6N10O8	
177000        295          7	 192	 90	 3	 5	 2	 2	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	H2C3NO2	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
178000        295          8	 191	 1	 1	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
179000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C4NO2	HC3N2O4	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
180000        296          8	 191	 1	 1	 89	 5	 5	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N12O11	O	H6C6N10O9	N2O3	
181000        296          8	 192	 88	 5	 5	 1	 1	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	H2C3NO2	H6C6N12O12	H6C6N11O10	H6C6N13O13	O	H6C6N12O11	NO2	H6C6N10O9	N2O3	
182000        296         11	 191	 1	 1	 88	 4	 1	 2	 1	 3	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
183000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
184000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
185000        295          6	 192	 89	 5	 5	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
186000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
187000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
188000        295          6	 192	 89	 5	 5	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
189000        294          6	 192	 90	 4	 4	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	
